pres_1,pres_2,sim
7,2,0.9970225069588794
7,3,0.9956817885105482
7,4,0.996405119033165
7,5,0.9984714977006072
7,6,0.9936512372598846
7,7,1.0
7,8,0.9985243454624414
7,9,0.0
7,10,0.9990388803314628
7,11,0.9973147982430478
7,12,0.9950182723984984
7,13,0.998679337104551
7,14,0.9957499106102188
7,15,0.9967944973567475
7,16,0.9953059228121032
7,17,0.9961311378905732
7,18,0.9966643365286992
7,19,0.993254317583153
7,20,0.0
7,21,0.9840512284529208
7,22,0.9927965374872971
7,23,0.9950802079259501
7,24,0.987978771875116
7,25,0.9961095586648558
7,26,0.9912555202037163
7,27,0.9880616696795158
7,28,0.9878202462987188
7,29,0.9926267162018231
7,30,0.985432343754443
7,31,0.9863373700357546
7,32,0.9824583841044594
7,33,0.980590719889343
7,34,0.979524160503145
7,35,0.972047617975233
7,36,0.9847140858561434
7,37,0.9764824976163652
7,38,0.9723077051668695
7,39,0.970232597683024
7,40,0.9571420728944174
7,41,0.9509024273014914
7,42,0.966208390298279
7,43,0.9529858802028605
7,44,0.9616707867079847
8,1,0.9962839773181109
8,2,0.9965043248119477
8,3,0.9956577705592876
8,4,0.9981815593498816
8,5,0.9971435594898157
8,6,0.9956246025645721
8,7,0.9985243454624414
8,8,1.0
8,9,0.0
8,10,0.9978569154210198
8,11,0.9963247189969353
8,12,0.9920256320987604
8,13,0.9984890942401886
8,14,0.9971053642237603
8,15,0.99433818902571
8,16,0.9960786922605995
8,17,0.9970183814470228
8,18,0.9973839116477563
8,19,0.9957053397602038
8,20,0.0
8,21,0.985917909931466
8,22,0.9958528520792117
8,23,0.9964186305544049
8,24,0.9891368792864114
8,25,0.9962768591364057
8,26,0.9916380035294686
8,27,0.9861052343178524
8,28,0.9878344573070725
8,29,0.9924344931099863
8,30,0.9886205230084375
8,31,0.9870095960333781
8,32,0.981738284922033
8,33,0.9829895056194425
8,34,0.9814839014669138
8,35,0.9676464157139237
8,36,0.9810627716481646
8,37,0.9764299641686189
8,38,0.9732605766821077
8,39,0.9670294000289741
8,40,0.9520455805632
8,41,0.9448733607618813
8,42,0.96332955131863
8,43,0.9470220678045037
8,44,0.9578717103621655
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,1.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,1.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
9,27,0.0
9,28,0.0
9,29,0.0
9,30,0.0
9,31,0.0
9,32,0.0
9,33,0.0
9,34,0.0
9,35,0.0
9,36,0.0
9,37,0.0
9,38,0.0
9,39,0.0
9,40,0.0
9,41,0.0
9,42,0.0
9,43,0.0
9,44,0.0
10,1,0.9973135856028261
10,2,0.9960061067847471
10,3,0.9948420934234208
10,4,0.9964186993068904
10,5,0.9973699162701574
10,6,0.99405569752507
10,7,0.9990388803314628
10,8,0.9978569154210198
10,9,0.0
10,10,1.0
10,11,0.9965401646110998
10,12,0.9955591478182158
10,13,0.9985674560618782
10,14,0.9956683634546747
10,15,0.9965331213674369
10,16,0.9946016453844827
10,17,0.9956349115297891
10,18,0.9970742420415966
10,19,0.9938532463134702
10,20,0.0
10,21,0.9850718232446568
10,22,0.9934513110109487
10,23,0.995454118940609
10,24,0.9886212869110548
10,25,0.9960639493477025
10,26,0.9924770173992629
10,27,0.9865356416898483
10,28,0.9877142521166756
10,29,0.992974227923765
10,30,0.9863720054782362
10,31,0.9855823294667474
10,32,0.9815645311598207
10,33,0.9810775128793866
10,34,0.9795710347939837
10,35,0.9705210562502953
10,36,0.9838585546053463
10,37,0.975178808288604
10,38,0.9721981464880696
10,39,0.9688706407388621
10,40,0.9549871452659743
10,41,0.9488805450508209
10,42,0.9647627967262048
10,43,0.950075897667846
10,44,0.9590445650772691
11,1,0.9925545740242248
11,2,0.9956531907349047
11,3,0.990781988077103
11,4,0.9944040265798247
11,5,0.9975085021750852
11,6,0.9958504659410949
11,7,0.9973147982430478
11,8,0.9963247189969353
11,9,0.0
11,10,0.9965401646110998
11,11,1.0
11,12,0.997018745790534
11,13,0.9985502851813032
11,14,0.9974990128036854
11,15,0.9981933286709708
11,16,0.9960382384986698
11,17,0.9978311643571359
11,18,0.9981600773173982
11,19,0.9956432592325648
11,20,0.0
11,21,0.9902735021039086
11,22,0.9945660353103102
11,23,0.996844941347152
11,24,0.9945964509763096
11,25,0.9924734143516151
11,26,0.9947723175970783
11,27,0.9806059474536699
11,28,0.9824322135761024
11,29,0.9901150115517479
11,30,0.9875429206902354
11,31,0.9819739641682753
11,32,0.9780804593855961
11,33,0.9798607986429742
11,34,0.976431360308166
11,35,0.9682659272076322
11,36,0.9799708776603518
11,37,0.9758968324549013
11,38,0.9771639097945309
11,39,0.9676076604322452
11,40,0.9523306943680989
11,41,0.9464150026818513
11,42,0.9659552450342531
11,43,0.9481829114163093
11,44,0.9655920542084098
12,1,0.9907907250714236
12,2,0.9938525006320791
12,3,0.985907021393028
12,4,0.9914582828055728
12,5,0.9939555543300115
12,6,0.9933610708326267
12,7,0.9950182723984984
12,8,0.9920256320987604
12,9,0.0
12,10,0.9955591478182158
12,11,0.997018745790534
12,12,1.0
12,13,0.9966753036326731
12,14,0.995298759090477
