word,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
force,0,15.847860538827259,18.812147272238647,0,0,0,0,0,0,0,0,0,0,0,0,20.144317498496694,0,0,0,0,0,0,0
debt,0,15.013762615731087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
british,0,0,20.00656932126967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state,0,0,18.812147272238647,15.130090497737557,21.81465621717702,17.21044641624926,22.80060228006023,24.328410809090187,0,0,13.849949911588912,0,0,0,0,0,0,0,0,0,0,0,0
spain,0,0,18.51354175998089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
view,0,0,17.319119710949863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
american,0,0,15.22888112514557,0,0,0,0,0,0,15.518870046331699,15.127372476250025,16.14335719136931,26.11054979735943,15.289331156547203,0,20.144317498496694,0,22.918647290506588,31.103038144765982,21.687361796223847,30.00672564540328,26.56856734109953,36.22006694704317
act,0,0,0,24.03846153846154,12.657886940831112,16.723358310128997,20.0473220047322,14.324204495071791,18.023078903635046,0,16.53926057403336,0,0,0,0,0,0,0,0,0,0,0,0
duty,0,0,0,19.65497737556561,21.54533947375508,21.67542072235166,20.477522047752206,0,0,14.731680986010526,0,0,13.055274898679714,0,0,0,0,0,0,0,0,0,0
effect,0,0,0,14.281674208144796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
union,0,0,0,13.433257918552036,0,0,0,18.075781862828688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition,0,0,0,12.867647058823529,0,0,0,0,0,13.26975844541406,0,14.053602215140275,0,0,0,0,0,0,0,0,0,0,0
party,0,0,0,12.584841628959277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bank,0,0,0,0,21.99420071279165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
general,0,0,0,0,19.21126103076495,0,14.196601419660142,14.66525698304969,14.629122486716756,16.19360352660699,15.799700141861138,0,0,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,18.133994057077196,19.727068297870613,14.712841471284147,28.193672339506385,16.852749104697704,24.740227610094013,15.598001842177803,22.255890496839246,17.59624008082918,21.508720101583354,34.4030229541481,37.282020444978954,37.651610982960044,29.709357598804836,48.02309089551868,27.35726030504054,53.11535344128856,41.101800758453116,36.563385117157324
good,0,0,0,0,13.645381666711552,0,0,0,0,15.293958886239935,12.908691179733355,22.83057311530223,13.736419676002134,18.139884423022103,0,21.948286229705353,18.602574596324132,20.5418986826022,30.10774092413347,0,25.522962043216584,30.883121011876376,23.345635567762425
system,0,0,0,0,12.837431436445737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexico,0,0,0,0,0,35.07034364065887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texas,0,0,0,0,0,15.26209399176821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
treasury,0,0,0,0,0,15.01854993870808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constitution,0,0,0,0,0,0,16.949881694988168,23.646305833134384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right,0,0,0,0,0,0,16.519681651968167,15.233677796346191,0,0,0,13.844626717517372,0,0,0,18.340348767288035,0,0,0,0,0,0,19.91245386662089
territory,0,0,0,0,0,0,14.626801462680147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
increase,0,0,0,0,0,0,0,14.66525698304969,14.863188446504225,0,21.178321466750035,0,0,20.0834434683459,19.175455417066157,0,19.793139370488877,22.409344017384218,17.41770136106895,22.1126041843851,0,0,0
report,0,0,0,0,0,0,0,0,19.31044168246612,14.619225405964643,13.917182678150024,0,0,0,0,0,0,0,0,0,0,0,0
service,0,0,0,0,0,0,0,0,16.618683144910236,16.530970266744635,13.312087779100022,14.941748080037616,13.736419676002134,17.492031407914173,0,0,0,0,0,0,0,0,0
claim,0,0,0,0,0,0,0,0,14.980221426397959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
department,0,0,0,0,0,0,0,0,13.692858647566885,0,0,0,18.95852963547402,0,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,0,0,0,14.169403085781116,0,0,0,0,0,0,0,0,0,0,0,0,0
result,0,0,0,0,0,0,0,0,0,0,15.39630354249447,0,0,0,0,0,0,0,0,0,0,0,0
gold,0,0,0,0,0,0,0,0,0,0,14.992906943127803,0,0,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,0,0,0,0,14.118880977833356,21.472232380753358,0,0,28.763183125599234,0,0,17.316311286160534,16.17357983527831,25.23104836423428,53.11535344128856,32.926856961191724,43.94472577461162
secretary,0,0,0,0,0,0,0,0,0,0,13.849949911588912,0,0,0,0,0,0,0,0,0,0,0,0
large,0,0,0,0,0,0,0,0,0,0,12.908691179733355,0,0,16.45546658374148,16.919519485646607,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,0,0,0,0,0,31.032861397001202,17.369191821721707,0,0,21.346963319302464,0,17.655846801575446,0,0,0,0,0
need,0,0,0,0,0,0,0,0,0,0,0,16.718039809832298,0,16.84417839280624,16.919519485646607,17.13770294648226,25.448322047771413,17.99538231699036,23.638308990022146,23.67182627430969,0,20.437359493153483,24.54724916316196
business,0,0,0,0,0,0,0,0,0,0,0,14.732772582414713,0,0,16.073543511364278,0,0,0,0,0,0,0,24.03227190799073
foreign,0,0,0,0,0,0,0,0,0,0,0,0,17.59624008082918,0,0,0,0,0,0,0,0,0,0
purpose,0,0,0,0,0,0,0,0,0,0,0,0,13.622895546448397,0,0,0,0,0,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04687864417321,0,0,0,0,0,17.576685377331746,0,0,0
federal,0,0,0,0,0,0,0,0,0,0,0,0,0,18.399025629065278,24.53330325418758,0,22.91837190267133,0,30.10774092413347,25.798038215115948,0,0,0
policy,0,0,0,0,0,0,0,0,0,0,0,0,0,15.807613568633549,0,0,0,0,0,23.104836423428022,0,0,0
world,0,0,0,0,0,0,0,0,0,0,0,0,0,15.289331156547203,29.32716710845412,49.00781719783524,51.64074707939579,34.63262257232107,46.28132075941178,27.92425015592221,33.11086967768638,31.564366328314826,23.5172946528195
