pres_1,pres_2,sim,pres_1_party,pres_2_party
5,19,0.9921537542984202,Democratic-Republican,Republican
5,20,0.0,Democratic-Republican,Republican
5,21,0.9840745682651153,Democratic-Republican,Republican
5,22,0.9911130658865448,Democratic-Republican,Democratic
5,23,0.9945948882492051,Democratic-Republican,Republican
5,24,0.9881524871702775,Democratic-Republican,Republican
5,25,0.9930722142662927,Democratic-Republican,Republican
5,26,0.9901044736022117,Democratic-Republican,Republican
5,27,0.9822606057033726,Democratic-Republican,Democratic
5,28,0.9822509980874,Democratic-Republican,Republican
5,29,0.989724344499996,Democratic-Republican,Republican
5,30,0.9821819764510354,Democratic-Republican,Republican
5,31,0.9806583777850484,Democratic-Republican,Democratic
5,32,0.9766514862274323,Democratic-Republican,Democratic
5,33,0.975388772785783,Democratic-Republican,Republican
5,34,0.9738341404527406,Democratic-Republican,Democratic
5,35,0.9664619543326287,Democratic-Republican,Democratic
5,36,0.9804123857186589,Democratic-Republican,Republican
5,37,0.9710237285092689,Democratic-Republican,Republican
5,38,0.9679247095734897,Democratic-Republican,Democratic
5,39,0.9645929036954135,Democratic-Republican,Republican
5,40,0.9510121754518184,Democratic-Republican,Republican
5,41,0.9437983397045628,Democratic-Republican,Democratic
5,42,0.96100045980871,Democratic-Republican,Republican
5,43,0.9473528128294608,Democratic-Republican,Democratic
5,44,0.9601535338024498,Democratic-Republican,Republican
6,1,0.9894337366093424,Democratic-Republican,Unaffiliated
6,2,0.9927344384778272,Democratic-Republican,Federalist
6,3,0.9870407889705205,Democratic-Republican,Democratic-Republican
6,4,0.9953651908492751,Democratic-Republican,Democratic-Republican
6,5,0.9935222447970434,Democratic-Republican,Democratic-Republican
6,6,1.0,Democratic-Republican,Democratic-Republican
6,7,0.9936512372598846,Democratic-Republican,Democratic
6,8,0.9956246025645721,Democratic-Republican,Democratic
6,9,0.0,Democratic-Republican,Whig
6,10,0.99405569752507,Democratic-Republican,Whig
6,11,0.9958504659410949,Democratic-Republican,Democratic
6,12,0.9933610708326267,Democratic-Republican,Whig
6,13,0.9966061219000648,Democratic-Republican,Whig
6,14,0.9973658065837313,Democratic-Republican,Democratic
6,15,0.9928882610882908,Democratic-Republican,Democratic
6,16,0.9925823298185603,Democratic-Republican,Republican
6,17,0.9965096608200474,Democratic-Republican,Democratic
6,18,0.9975501094738398,Democratic-Republican,Republican
6,19,0.9976465042309988,Democratic-Republican,Republican
6,20,0.0,Democratic-Republican,Republican
6,21,0.9918998737378779,Democratic-Republican,Republican
6,22,0.9960242892328873,Democratic-Republican,Democratic
6,23,0.9973209992154904,Democratic-Republican,Republican
6,24,0.9945393131751961,Democratic-Republican,Republican
6,25,0.9886935933889942,Democratic-Republican,Republican
6,26,0.9949359799728711,Democratic-Republican,Republican
6,27,0.9733012802189629,Democratic-Republican,Democratic
6,28,0.9766109849292433,Democratic-Republican,Republican
6,29,0.9859991796040952,Democratic-Republican,Republican
6,30,0.9885995451437581,Democratic-Republican,Republican
6,31,0.9773827110309534,Democratic-Republican,Democratic
6,32,0.9711231495099608,Democratic-Republican,Democratic
6,33,0.9763261437212412,Democratic-Republican,Republican
6,34,0.9716863624060245,Democratic-Republican,Democratic
6,35,0.956375952249889,Democratic-Republican,Democratic
6,36,0.9711005980671472,Democratic-Republican,Republican
6,37,0.9680408984473193,Democratic-Republican,Republican
6,38,0.9711153790223799,Democratic-Republican,Democratic
6,39,0.9544105591031117,Democratic-Republican,Republican
6,40,0.937349846344456,Democratic-Republican,Republican
6,41,0.9293701360829781,Democratic-Republican,Democratic
6,42,0.9523998748756994,Democratic-Republican,Republican
6,43,0.9300393225629177,Democratic-Republican,Democratic
6,44,0.9488558318905926,Democratic-Republican,Republican
7,1,0.9972117879048625,Democratic,Unaffiliated
7,2,0.9970225069588794,Democratic,Federalist
7,3,0.9956817885105482,Democratic,Democratic-Republican
7,4,0.996405119033165,Democratic,Democratic-Republican
7,5,0.9984714977006072,Democratic,Democratic-Republican
7,6,0.9936512372598846,Democratic,Democratic-Republican
7,7,1.0,Democratic,Democratic
7,8,0.9985243454624414,Democratic,Democratic
7,9,0.0,Democratic,Whig
7,10,0.9990388803314628,Democratic,Whig
7,11,0.9973147982430478,Democratic,Democratic
7,12,0.9950182723984984,Democratic,Whig
7,13,0.998679337104551,Democratic,Whig
7,14,0.9957499106102188,Democratic,Democratic
7,15,0.9967944973567475,Democratic,Democratic
7,16,0.9953059228121032,Democratic,Republican
7,17,0.9961311378905732,Democratic,Democratic
7,18,0.9966643365286992,Democratic,Republican
7,19,0.993254317583153,Democratic,Republican
7,20,0.0,Democratic,Republican
7,21,0.9840512284529208,Democratic,Republican
7,22,0.9927965374872971,Democratic,Democratic
7,23,0.9950802079259501,Democratic,Republican
7,24,0.987978771875116,Democratic,Republican
7,25,0.9961095586648558,Democratic,Republican
7,26,0.9912555202037163,Democratic,Republican
7,27,0.9880616696795158,Democratic,Democratic
7,28,0.9878202462987188,Democratic,Republican
7,29,0.9926267162018231,Democratic,Republican
7,30,0.985432343754443,Democratic,Republican
7,31,0.9863373700357546,Democratic,Democratic
7,32,0.9824583841044594,Democratic,Democratic
7,33,0.980590719889343,Democratic,Republican
7,34,0.979524160503145,Democratic,Democratic
7,35,0.972047617975233,Democratic,Democratic
7,36,0.9847140858561434,Democratic,Republican
7,37,0.9764824976163652,Democratic,Republican
7,38,0.9723077051668695,Democratic,Democratic
7,39,0.970232597683024,Democratic,Republican
7,40,0.9571420728944174,Democratic,Republican
7,41,0.9509024273014914,Democratic,Democratic
7,42,0.966208390298279,Democratic,Republican
7,43,0.9529858802028605,Democratic,Democratic
7,44,0.9616707867079847,Democratic,Republican
8,1,0.9962839773181109,Democratic,Unaffiliated
8,2,0.9965043248119477,Democratic,Federalist
8,3,0.9956577705592876,Democratic,Democratic-Republican
8,4,0.9981815593498816,Democratic,Democratic-Republican
8,5,0.9971435594898157,Democratic,Democratic-Republican
8,6,0.9956246025645721,Democratic,Democratic-Republican
8,7,0.9985243454624414,Democratic,Democratic
8,8,1.0,Democratic,Democratic
8,9,0.0,Democratic,Whig
8,10,0.9978569154210198,Democratic,Whig
8,11,0.9963247189969353,Democratic,Democratic
8,12,0.9920256320987604,Democratic,Whig
8,13,0.9984890942401886,Democratic,Whig
8,14,0.9971053642237603,Democratic,Democratic
8,15,0.99433818902571,Democratic,Democratic
8,16,0.9960786922605995,Democratic,Republican
8,17,0.9970183814470228,Democratic,Democratic
8,18,0.9973839116477563,Democratic,Republican
8,19,0.9957053397602038,Democratic,Republican
